"	"	Seat Pressure Living	Door PIR Living	Door PIR Kitchen	Door PIR Bedroom	Basin PIR Bathroom	Toilet Flush Bathroom	Bed Pressure Bedroom	Fridge Magnetic Kitchen	Microwave Electric Kitchen	Shower PIR Bathroom	Cupboard Magnetic Kitchen	Maindoor Magnetic Entrance
Seat Pressure Living	0.0	0.13759213759213759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Door PIR Living	1.0	0.39803439803439805	0.38172043010752688	0.20994475138121546	0.35999999999999999	0.31182795698924731	0.0	0.0	0.0	0.083333333333333329	0.0	0.17948717948717949
Door PIR Kitchen	0.0	0.26412776412776412	0.34587813620071683	0.069060773480662987	0.032000000000000001	0.096774193548387094	0.0	0.64485981308411211	0.5	0.0	0.90000000000000002	0.17948717948717949
Door PIR Bedroom	0.0	0.099508599508599513	0.05197132616487455	0.42817679558011051	0.30399999999999999	0.23655913978494625	1.0	0.0	0.0	0.0	0.0	0.089743589743589744
Basin PIR Bathroom	0.0	0.040540540540540543	0.010752688172043012	0.082872928176795577	0.104	0.35483870967741937	0.0	0.0	0.0	0.83333333333333337	0.0	0.0
Toilet Flush Bathroom	0.0	0.034398034398034398	0.025089605734767026	0.082872928176795577	0.128	0.0	0.0	0.0	0.0	0.083333333333333329	0.0	0.05128205128205128
Bed Pressure Bedroom	0.0	0.0	0.0	0.082872928176795577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fridge Magnetic Kitchen	0.0	0.0	0.13620071684587814	0.0	0.0	0.0	0.0	0.21495327102803738	0.31818181818181818	0.0	0.050000000000000003	0.0
Microwave Electric Kitchen	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.10280373831775701	0.090909090909090912	0.0	0.0	0.0
Shower PIR Bathroom	0.0	0.0	0.0035842293906810036	0.0082872928176795577	0.056000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cupboard Magnetic Kitchen	0.0	0.0	0.023297491039426525	0.0	0.0	0.0	0.0	0.037383177570093455	0.090909090909090912	0.0	0.050000000000000003	0.0
Maindoor Magnetic Entrance	0.0	0.025798525798525929	0.0053763440860213896	0.035911602209944715	0.016000000000000014	0.0	0.0	0.0	0.0	0.0	0.0	0.5
